Date,Active_Lever_Presses,Inactive_Lever_Presses,Session_Number,Stage,Animal.ID,Genotype,Position,Progression,Progression_Session
"25/04/2023			",2410,0,3,FR5,578,WT,Beside,1,3
"26/04/2023			",2450,0,4,FR5,578,WT,Beside,1,4
"1/05/2023			",1907,0,5,FR5,578,WT,Beside,0,
"2/05/2023			",2310,0,6,FR5,578,WT,Beside,0,
"3/05/2023			",2408,0,7,FR5,578,WT,Beside,0,
"5/05/2023			",2485,0,8,FR5,578,WT,Beside,0,
"8/05/2023			",2730,0,9,FR5,578,WT,Beside,0,
"4/05/2023			",2704,37,1,PR 2HR,578,WT,Beside,0,
"11/05/2023			",5244,55,1,PR 6HR,578,WT,Beside,0,
"3/04/2023		",192,N/A,1,FR1 SL,542,KI,Opposite,0,
"4/04/2023			",193,N/A,2,FR1 SL,542,KI,Opposite,0,
"5/04/2023			",218,N/A,3,FR1 SL,542,KI,Opposite,1,1
"6/04/2023			",263,N/A,4,FR1 SL,542,KI,Opposite,1,2
"7/04/2023			",262,N/A,5,FR1 SL,542,KI,Opposite,1,3
"10/04/2023			",265,N/A,6,FR1 SL,542,KI,Opposite,1,4
"11/04/2023			",236,8,1,FR1 DL,542,KI,Opposite,0,
"12/04/2023			",278,5,2,FR1 DL,542,KI,Opposite,1,1
"13/04/2023			",282,4,3,FR1 DL,542,KI,Opposite,1,2
"14/04/2023			",319,0,4,FR1 DL,542,KI,Opposite,1,3
"17/04/2023			",315,11,5,FR1 DL,542,KI,Opposite,1,4
"18/04/2023			",873,0,1,FR3,542,KI,Opposite,0,
"19/04/2023			",750,5,2,FR3,542,KI,Opposite,1,1
"20/04/2023			",687,3,3,FR3,542,KI,Opposite,1,2
"21/04/2023			",714,0,4,FR3,542,KI,Opposite,1,3
"24/04/2023			",807,0,5,FR3,542,KI,Opposite,1,4
"25/04/2023			",1140,1,1,FR5,542,KI,Opposite,1,1
"26/04/2023			",1160,2,2,FR5,542,KI,Opposite,1,2
"1/05/2023			",1069,1,3,FR5,542,KI,Opposite,1,3
"2/05/2023			",1331,0,4,FR5,542,KI,Opposite,1,4
"3/05/2023			",1151,4,5,FR5,542,KI,Opposite,0,
"5/05/2023			",944,11,6,FR5,542,KI,Opposite,0,
"8/05/2023			",1345,5,7,FR5,542,KI,Opposite,0,
"4/05/2023			",748,78,1,PR 2HR,542,KI,Opposite,0,
"11/05/2023			",2090,129,1,PR 6HR,542,KI,Opposite,0,
"3/04/2023		",140,N/A,1,FR1 SL,579,WT,Beside,0,
"4/04/2023			",408,N/A,2,FR1 SL,579,WT,Beside,1,1
"5/04/2023			",399,N/A,3,FR1 SL,579,WT,Beside,1,2
"6/04/2023			",374,N/A,4,FR1 SL,579,WT,Beside,1,3
"7/04/2023			",344,N/A,5,FR1 SL,579,WT,Beside,1,4
"10/04/2023			",360,39,1,FR1 DL,579,WT,Beside,1,1
"11/04/2023			",336,15,2,FR1 DL,579,WT,Beside,1,2
"12/04/2023			",391,21,3,FR1 DL,579,WT,Beside,1,3
"13/04/2023			",386,15,4,FR1 DL,579,WT,Beside,1,4
"14/04/2023			",1037,3,1,FR3,579,WT,Beside,0,
"17/04/2023			",1244,3,2,FR3,579,WT,Beside,1,1
"18/04/2023			",1192,6,3,FR3,579,WT,Beside,1,2
"19/04/2023			",1316,3,4,FR3,579,WT,Beside,1,3
"20/04/2023			",1366,3,5,FR3,579,WT,Beside,1,4
"21/04/2023			",1970,2,1,FR5,579,WT,Beside,1,1
"24/04/2023			",2150,1,2,FR5,579,WT,Beside,1,2
"25/04/2023			",2256,0,3,FR5,579,WT,Beside,1,3
"26/04/2023			",2260,0,4,FR5,579,WT,Beside,1,4
"1/05/2023			",1911,0,5,FR5,579,WT,Beside,0,
"3/05/2023			",1919,3,6,FR5,579,WT,Beside,0,
"5/05/2023			",2098,0,7,FR5,579,WT,Beside,0,
"8/05/2023			",2265,0,8,FR5,579,WT,Beside,0,
"2/05/2023			",1321,137,1,PR 2HR,579,WT,Beside,0,
"4/05/2023			",906,159,2,PR 2HR,579,WT,Beside,0,
"11/05/2023			",1718,461,1,PR 6HR,579,WT,Beside,0,
"29/03/2023		",294,N/A,1,FR1 SL,552,KI,Beside,1,1
"30/03/2023		",316,N/A,2,FR1 SL,552,KI,Beside,1,2
"3/04/2023		",257,N/A,3,FR1 SL,552,KI,Beside,1,3
"4/04/2023			",269,N/A,4,FR1 SL,552,KI,Beside,1,4
"5/04/2023			",256,0,1,FR1 DL,552,KI,Beside,0,
"6/04/2023			",266,0,2,FR1 DL,552,KI,Beside,1,1
"7/04/2023			",321,5,3,FR1 DL,552,KI,Beside,1,2
"10/04/2023			",319,0,4,FR1 DL,552,KI,Beside,1,3
"11/04/2023			",325,0,5,FR1 DL,552,KI,Beside,1,4
"12/04/2023			",903,0,1,FR3,552,KI,Beside,0,
"13/04/2023			",939,0,2,FR3,552,KI,Beside,1,1
"14/04/2023			",1041,2,3,FR3,552,KI,Beside,1,2
"17/04/2023			",1144,0,4,FR3,552,KI,Beside,1,3
"18/04/2023			",1120,0,5,FR3,552,KI,Beside,1,4
"19/04/2023			",1298,0,1,FR5,552,KI,Beside,1,1
"20/04/2023			",1701,0,2,FR5,552,KI,Beside,1,2
"21/04/2023			",1519,0,3,FR5,552,KI,Beside,1,3
"24/04/2023			",1565,0,4,FR5,552,KI,Beside,1,4
"26/04/2023			",1488,0,5,FR5,552,KI,Beside,0,
"1/05/2023			",1576,0,6,FR5,552,KI,Beside,0,
"3/05/2023			",1630,0,7,FR5,552,KI,Beside,0,
"5/05/2023			",1766,0,8,FR5,552,KI,Beside,0,
"8/05/2023			",1730,0,9,FR5,552,KI,Beside,0,
"25/04/2023			",1238,16,1,PR 2HR,552,KI,Beside,0,
"2/05/2023			",1116,48,2,PR 2HR,552,KI,Beside,0,
"4/05/2023			",945,103,3,PR 2HR,552,KI,Beside,0,
"11/05/2023			",1538,285,1,PR 6HR,552,KI,Beside,0,
