Active_Lever_Presses,Inactive_Lever_Presses,Session_Number,Stage,Animal.ID,Genotype,Drug,Dose
579,4,27,PR 2HR,82,KI,None,
450,1,28,FR5,82,KI,None,
643,2,29,PR 2HR,82,KI,None,
515,5,30,FR5,82,KI,None,
539,1501,31,FR5,82,KI,None,
415,5,32,PR 2HR + ATO,82,KI,ATO,3
431,7,33,FR5,82,KI,None,
627,15,34,PR 2HR,82,KI,None,
355,1501,35,FR5,82,KI,None,
790,1,36,FR5,82,KI,None,
744,4,37,PR 2HR + ATO,82,KI,ATO,1
691,2,38,FR5,82,KI,None,
757,7,39,PR 2HR,82,KI,None,
305,2,40,FR5,82,KI,None,
415,1,41,FR5,82,KI,None,
722,16,42,PR 2HR + ATO,82,KI,Saline,0
470,3,43,FR5,82,KI,None,
270,1,1,FR10,82,KI,None,
107,5,1,FR20,82,KI,None,
123,3,1,FR40,82,KI,None,
3,0,1,FR1 SL,86,KI,None,
4,0,2,FR1 SL,86,KI,None,
8,0,3,FR1 SL,86,KI,None,
15,0,4,FR1 SL,86,KI,None,
75,0,5,FR1 SL,86,KI,None,
110,3,1,FR1 DL,86,KI,None,
85,2,2,FR1 DL,86,KI,None,
99,2,3,FR1 DL,86,KI,None,
86,1,4,FR1 DL,86,KI,None,
83,3,1,FR3,86,KI,None,
147,1,2,FR3,86,KI,None,
103,6,3,FR3,86,KI,None,
188,1,4,FR3,86,KI,None,
291,10,5,FR3,86,KI,None,
410,1,6,FR3,86,KI,None,
571,1,1,FR5,86,KI,None,
617,1501,2,FR5,86,KI,None,
614,1,3,FR5,86,KI,None,
625,2,4,FR5,86,KI,None,
584,1,5,FR5,86,KI,None,
380,3,6,FR5,86,KI,None,
273,3,7,FR5,86,KI,None,
453,1501,8,FR5,86,KI,None,
576,5,9,PR 2HR,86,KI,None,
180,1,10,FR5,86,KI,None,
400,1,11,FR5,86,KI,None,
533,11,12,PR 2HR,86,KI,None,
293,2,13,FR5,86,KI,None,
605,12,14,PR 2HR,86,KI,None,
401,3,15,FR5,86,KI,None,
470,1,16,FR5,86,KI,None,
690,53,17,PR 2HR,86,KI,None,
490,1501,18,FR5,86,KI,None,
706,30,19,PR 2HR,86,KI,None,
335,2,20,FR5,86,KI,None,
386,2,21,FR5,86,KI,None,
579,21,22,PR 2HR,86,KI,None,
330,2,23,FR5,86,KI,None,
611,36,24,PR 2HR,86,KI,None,
521,6,25,FR5,86,KI,None,
620,5,26,FR5,86,KI,None,
630,20,27,PR 2HR,86,KI,None,
525,1,28,FR5,86,KI,None,
652,30,29,PR 2HR,86,KI,None,
260,3,30,FR5,86,KI,None,
570,5,31,FR5,86,KI,None,
673,13,32,PR 2HR + ATO,86,KI,Saline,0
527,2,33,FR5,86,KI,None,
709,27,34,PR 2HR,86,KI,None,
525,5,35,FR5,86,KI,None,
620,5,36,FR5,86,KI,None,
464,14,37,PR 2HR + ATO,86,KI,ATO,3
276,5,38,FR5,86,KI,None,
575,36,39,PR 2HR,86,KI,None,
443,2,40,FR5,86,KI,None,
556,11,41,FR5,86,KI,None,
578,13,42,PR 2HR + ATO,86,KI,ATO,1
500,3,43,FR5,86,KI,None,
732,7,1,FR10,86,KI,None,
560,12,1,FR20,86,KI,None,
433,12,1,FR40,86,KI,None,
1,0,1,FR1 SL,87,KI,None,
0,0,2,FR1 SL,87,KI,None,
49,0,3,FR1 SL,87,KI,None,
79,0,4,FR1 SL,87,KI,None,
83,0,5,FR1 SL,87,KI,None,
99,10,1,FR1 DL,87,KI,None,
101,17,2,FR1 DL,87,KI,None,
108,5,3,FR1 DL,87,KI,None,
146,2,4,FR1 DL,87,KI,None,
272,1501,1,FR3,87,KI,None,
266,1501,2,FR3,87,KI,None,
252,5,3,FR3,87,KI,None,
321,6,4,FR3,87,KI,None,
363,9,5,FR3,87,KI,None,
362,1,6,FR3,87,KI,None,
319,2,1,FR5,87,KI,None,
286,1501,2,FR5,87,KI,None,
200,5,3,FR5,87,KI,None,
180,1,4,FR5,87,KI,None,
171,3,5,FR5,87,KI,None,
126,1,6,FR5,87,KI,None,
190,7,7,FR5,87,KI,None,
255,1501,8,FR5,87,KI,None,
622,29,9,PR 2HR,87,KI,None,
151,2,10,FR5,87,KI,None,
325,4,11,FR5,87,KI,None,
443,10,12,PR 2HR,87,KI,None,
144,4,13,FR5,87,KI,None,
482,29,14,PR 2HR,87,KI,None,
164,4,15,FR5,87,KI,None,
275,1501,16,FR5,87,KI,None,
523,15,17,PR 2HR,87,KI,None,
150,2,18,FR5,87,KI,None,
443,19,19,PR 2HR,87,KI,None,
115,3,20,FR5,87,KI,None,
285,1501,21,FR5,87,KI,None,
477,11,22,PR 2HR,87,KI,None,
340,1,23,FR5,87,KI,None,
754,7,24,PR 2HR,87,KI,None,
280,1501,25,FR5,87,KI,None,
726,1501,26,FR5,87,KI,None,
870,6,27,PR 2HR,87,KI,None,
425,1501,28,FR5,87,KI,None,
1039,6,29,PR 2HR,87,KI,None,
205,1501,30,FR5,87,KI,None,
594,2,31,FR5,87,KI,None,
673,4,32,PR 2HR + ATO,87,KI,Saline,0
485,1,33,FR5,87,KI,None,
630,2,34,PR 2HR,87,KI,None,
304,1501,35,FR5,87,KI,None,
665,1501,36,FR5,87,KI,None,
506,4,37,PR 2HR + ATO,87,KI,ATO,3
195,1501,38,FR5,87,KI,None,
591,4,39,PR 2HR,87,KI,None,
519,1,40,FR5,87,KI,None,
671,1,41,FR5,87,KI,None,
524,1,42,PR 2HR + ATO,87,KI,ATO,1
430,1501,43,FR5,87,KI,None,
711,1,1,FR10,87,KI,None,
394,1,1,FR20,87,KI,None,
123,3,1,FR40,87,KI,None,
24,0,1,FR1 SL,88,KI,None,
131,0,2,FR1 SL,88,KI,None,
161,0,3,FR1 SL,88,KI,None,
170,0,4,FR1 SL,88,KI,None,
165,0,5,FR1 SL,88,KI,None,
187,29,1,FR1 DL,88,KI,None,
214,20,2,FR1 DL,88,KI,None,
228,14,3,FR1 DL,88,KI,None,
220,11,4,FR1 DL,88,KI,None,
527,13,1,FR3,88,KI,None,
530,13,2,FR3,88,KI,None,
540,11,3,FR3,88,KI,None,
588,12,4,FR3,88,KI,None,
650,5,5,FR3,88,KI,None,
556,5,6,FR3,88,KI,None,
722,3,1,FR5,88,KI,None,
618,1501,2,FR5,88,KI,None,
856,2,3,FR5,88,KI,None,
456,36,4,FR5,88,KI,None,
371,23,5,FR5,88,KI,None,
450,38,6,FR5,88,KI,None,
289,34,7,FR5,88,KI,None,
556,40,8,FR5,88,KI,None,
1327,65,9,PR 2HR,88,KI,None,
401,33,10,FR5,88,KI,None,
406,26,11,FR5,88,KI,None,
1132,47,12,PR 2HR,88,KI,None,
220,15,13,FR5,88,KI,None,
878,22,14,PR 2HR,88,KI,None,
350,21,15,FR5,88,KI,None,
318,4,16,FR5,88,KI,None,
891,34,17,PR 2HR,88,KI,None,
181,6,18,FR5,88,KI,None,
510,7,19,PR 2HR,88,KI,None,
466,6,20,FR5,88,KI,None,
837,1,21,FR5,88,KI,None,
941,10,22,PR 2HR,88,KI,None,
276,8,23,FR5,88,KI,None,
756,8,24,PR 2HR,88,KI,None,
399,1,25,FR5,88,KI,None,
835,1,26,FR5,88,KI,None,
842,8,27,PR 2HR,88,KI,None,
317,4,28,FR5,88,KI,None,
817,9,29,PR 2HR,88,KI,None,
733,2,30,FR5,88,KI,None,
390,6,31,FR5,88,KI,None,
823,9,32,PR 2HR + ATO,88,KI,Saline,0
230,6,33,FR5,88,KI,None,
750,4,34,PR 2HR,88,KI,None,
331,1501,35,FR5,88,KI,None,
695,1501,36,FR5,88,KI,None,
743,5,37,PR 2HR + ATO,88,KI,ATO,3
181,1501,38,FR5,88,KI,None,
596,7,39,PR 2HR,88,KI,None,
245,5,40,FR5,88,KI,None,
176,4,41,FR5,88,KI,None,
473,12,42,PR 2HR + ATO,88,KI,ATO,1
177,2,43,FR5,88,KI,None,
470,2,1,FR10,88,KI,None,
314,1,1,FR20,88,KI,None,
392,14,1,FR40,88,KI,None,
59,0,1,FR1 SL,92,KI,None,
70,0,2,FR1 SL,92,KI,None,
108,0,3,FR1 SL,92,KI,None,
180,0,4,FR1 SL,92,KI,None,
103,0,5,FR1 SL,92,KI,None,
146,1501,1,FR1 DL,92,KI,None,
87,1501,2,FR1 DL,92,KI,None,
115,1501,3,FR1 DL,92,KI,None,
126,1501,4,FR1 DL,92,KI,None,
168,1501,1,FR3,92,KI,None,
159,1501,2,FR3,92,KI,None,
155,1501,3,FR3,92,KI,None,
263,1501,4,FR3,92,KI,None,
381,1501,5,FR3,92,KI,None,
402,1501,6,FR3,92,KI,None,
245,35,1,FR5,92,KI,None,
397,1501,2,FR5,92,KI,None,
329,2,3,FR5,92,KI,None,
430,1501,4,FR5,92,KI,None,
430,2,5,FR5,92,KI,None,
524,1501,6,FR5,92,KI,None,
335,1501,7,FR5,92,KI,None,
470,1501,8,FR5,92,KI,None,
857,1,9,PR 2HR,92,KI,None,
427,1501,10,FR5,92,KI,None,
588,1501,11,FR5,92,KI,None,
930,1,12,PR 2HR,92,KI,None,
386,1501,13,FR5,92,KI,None,
993,1,14,PR 2HR,92,KI,None,
441,1501,15,FR5,92,KI,None,
577,1501,16,FR5,92,KI,None,
1026,1,17,PR 2HR,92,KI,None,
389,1501,18,FR5,92,KI,None,
885,1,19,PR 2HR,92,KI,None,
324,1501,20,FR5,92,KI,None,
349,1501,21,FR5,92,KI,None,
769,1,22,PR 2HR,92,KI,None,
568,1501,23,FR5,92,KI,None,
1181,1,24,PR 2HR,92,KI,None,
530,1501,25,FR5,92,KI,None,
441,1501,26,FR5,92,KI,None,
958,1,27,PR 2HR,92,KI,None,
482,1501,28,FR5,92,KI,None,
898,1,29,PR 2HR,92,KI,None,
505,1501,30,FR5,92,KI,None,
570,1501,31,FR5,92,KI,None,
724,1,32,PR 2HR + ATO,92,KI,Saline,0
545,1501,33,FR5,92,KI,None,
869,1,34,PR 2HR,92,KI,None,
361,1501,35,FR5,92,KI,None,
788,1501,36,FR5,92,KI,None,
773,1,37,PR 2HR + ATO,92,KI,ATO,3
530,1501,38,FR5,92,KI,None,
1013,1,39,PR 2HR,92,KI,None,
625,1501,40,FR5,92,KI,None,
415,1501,41,FR5,92,KI,None,
782,1,42,PR 2HR + ATO,92,KI,ATO,1
668,1501,43,FR5,92,KI,None,
570,1,1,FR10,92,KI,None,
483,1,1,FR20,92,KI,None,
312,1501,1,FR40,92,KI,None,
7,0,1,FR1 SL,99,KI,None,
21,0,2,FR1 SL,99,KI,None,
38,0,3,FR1 SL,99,KI,None,
90,0,4,FR1 SL,99,KI,None,
102,0,5,FR1 SL,99,KI,None,
86,1,1,FR1 DL,99,KI,None,
133,1501,2,FR1 DL,99,KI,None,
140,1501,3,FR1 DL,99,KI,None,
130,1501,4,FR1 DL,99,KI,None,
233,1,1,FR3,99,KI,None,
231,1501,2,FR3,99,KI,None,
172,1,3,FR3,99,KI,None,
192,2,4,FR3,99,KI,None,
335,1501,5,FR3,99,KI,None,
297,3,6,FR3,99,KI,None,
268,2,1,FR5,99,KI,None,
375,4,2,FR5,99,KI,None,
336,1501,3,FR5,99,KI,None,
478,1501,4,FR5,99,KI,None,
555,1,5,FR5,99,KI,None,
654,1501,6,FR5,99,KI,None,
777,1501,7,FR5,99,KI,None,
685,1,8,FR5,99,KI,None,
724,8,9,PR 2HR,99,KI,None,
575,1,10,FR5,99,KI,None,
610,1501,11,FR5,99,KI,None,
658,8,12,PR 2HR,99,KI,None,
305,1501,13,FR5,99,KI,None,
534,1,14,PR 2HR,99,KI,None,
371,1501,15,FR5,99,KI,None,
386,2,16,FR5,99,KI,None,
559,1,17,PR 2HR,99,KI,None,
438,1501,18,FR5,99,KI,None,
497,3,19,PR 2HR,99,KI,None,
253,1,20,FR5,99,KI,None,
530,1,21,FR5,99,KI,None,
485,2,22,PR 2HR,99,KI,None,
620,2,23,FR5,99,KI,None,
806,6,24,PR 2HR,99,KI,None,
485,1,25,FR5,99,KI,None,
590,1501,26,FR5,99,KI,None,
623,1,27,PR 2HR,99,KI,None,
420,1501,28,FR5,99,KI,None,
551,1,29,PR 2HR,99,KI,None,
493,1501,30,FR5,99,KI,None,
670,1501,31,FR5,99,KI,None,
441,1,32,PR 2HR + ATO,99,KI,ATO,1
568,1501,33,FR5,99,KI,None,
525,1,34,PR 2HR,99,KI,None,
440,1501,35,FR5,99,KI,None,
435,1501,36,FR5,99,KI,None,
389,1,37,PR 2HR + ATO,99,KI,Saline,0
405,1501,38,FR5,99,KI,None,
289,1,39,PR 2HR,99,KI,None,
200,1501,40,FR5,99,KI,None,
485,1501,41,FR5,99,KI,None,
320,1,42,PR 2HR + ATO,99,KI,ATO,3
541,1501,43,FR5,99,KI,None,
204,1501,1,FR10,99,KI,None,
220,1501,1,FR20,99,KI,None,
0,0,1,FR40,99,KI,None,
